year,collabType,id,link,metricType,name,percentageByYear,threshold,type,uri,valueByYear
2012,Institutional collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,7.779426
2013,Institutional collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,7.665777
2014,Institutional collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,5.565974
2015,Institutional collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,3.9386337
2016,Institutional collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,2.064185
2012,International collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,26.993145
2013,International collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,22.969658
2014,International collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,16.654266
2015,International collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,11.948219
2016,International collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,6.5134997
2012,National collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,18.582836
